A (Shape),w (Loss Aversion),a (Learning Rate),c (Consistency),Pattern
0.2936827506861993,4.400711279657666,0.47213486304644,0.0215119564907187,GOB
0.2751263724381434,2.82993724714981,0.1373548509341891,4.889137350366234,GOB
0.5842657634273585,0.8994155443325882,0.5248149090698905,1.672845062075564,GOB
0.2414546797960141,2.6603160430633754,0.6089403577024819,1.4779489362734677,GOB
0.8848951083262461,0.2308441683200809,0.8339228033048152,0.8863782743650405,GOB
0.9172875925692416,2.529150730151078,0.254124305185455,0.5488464353550265,GOB
0.6567428642408717,1.8764015909459848,0.2448271089752619,3.624242399916568,GOB
0.7131618970949258,4.32232845192545,0.2139069741516629,1.4641901563883792,GOB
0.4729890206638465,0.1704408169533661,0.7107511493363329,3.9856846646394377,GOB
0.9077610377551134,4.042619654236183,0.6187331165903251,0.5026158538123877,GOB
0.3730775773663115,4.852409215552952,0.0679768564509759,1.4283028234249204,GOB
0.1297222984661679,4.171947928217755,0.8739121285420167,1.2385392541166735,GOB
0.990833320312712,2.742116873932771,0.3691449093869501,3.5772762778142364,GOB
0.3939224791526219,0.1969245207518996,0.985428147857598,2.67774168726911,GOB
0.9819987708454634,0.7680317495817073,0.092539395351164,3.941755352293727,GOB
0.9527209528267744,2.113582424920386,0.715272501581362,0.4352271541736157,GOB
0.9149323610275396,1.1843033941225458,0.677572764409242,2.4902999300207256,GOB
0.291862753957612,1.205565187035493,0.4069336609067278,2.609165339279725,GOB
0.9813414507708575,1.6927248629813805,0.7771959150049362,2.212057517028825,GOB
0.6730643398685159,2.467108975338176,0.5042437487504021,3.015677215475068,GOB
