$\lambda$ (Loss Aversion),$\rho$ (Perception Shape),$\alpha$ (Learning Rate),$f$ (Boredom Factor),$\beta$ (Exploration Weight)
0.16179718586870948,0.774254925393443,0.4520041044852032,0.09282056719463723,3.9397790516826765
0.08105779757966838,0.8000593817552396,0.607960103301517,0.09743077797461419,4.871450688004207
0.1043019536628416,0.7915509446961297,0.5842963964494319,0.09289082015155928,4.934051506334325
0.13600057004768634,0.7775492788586609,0.5201078457820032,0.09362548497462683,4.5194299894419485
0.0913760415745218,0.7716199652696255,0.6224903261030109,0.10856777968031778,4.545403840421516
0.13970542914864614,0.7534186066963378,0.47896449360071586,0.07034809445503411,4.065570704667441
0.17764259351826622,0.7304619975820469,0.48216710229391135,0.0705305329841896,3.946815590145381
0.13745633966018506,0.8135758018404482,0.5024209908294787,0.10413480426959358,5.0
0.16522761221657667,0.7312648162161711,0.49618058943788446,0.10415867800763251,3.5161651884992353
0.16276237774615518,0.7383563266563506,0.4674388245314489,0.06496400698702239,3.996541529102922
0.15928102913538078,0.792587924372442,0.4524950162845488,0.10931375971653107,4.526697027889145
0.14063762387287707,0.7783548995271142,0.50046744403741,0.09520917508928076,4.119435902419503
0.13478408164541866,0.7783506130714134,0.5136606110955153,0.06728277234145891,4.810721812601805
0.14359453599432548,0.7877627946552893,0.483975498231526,0.07814905046055398,5.0
0.14607438656218605,0.7294707443870976,0.5022082329772148,0.07324316664092752,3.648837642843303
0.17212798955140246,0.7483659295432318,0.4598876766390747,0.06333433567448143,4.119642049288414
0.155921321822994,0.7839128570288261,0.46477713231824225,0.0719370033145876,4.50393809410153
0.14559912597757532,0.7670357541783442,0.48617751949729104,0.0630901580274922,4.604766613183658
0.13939233785387434,0.7471816159857502,0.530633780793055,0.08084952153794214,4.019903027146981
0.14511579709114736,0.7540086624558472,0.5191898958314318,0.08583694795683924,4.172897825697615
0.1630747129558717,0.7625963926653465,0.46251880311770843,0.06319624973303041,4.581445463408638
0.14680259402393236,0.7630941352022055,0.49853354931109656,0.07416145937725276,3.9896240690654645
0.15260577133729214,0.7423607444612605,0.5259139811777591,0.09306598007529177,3.8054470841445123
0.13016665987950518,0.7478951887380907,0.5433024941639087,0.0882462390642329,4.211717886815765
0.14727900955681533,0.7344859963020978,0.5038694007613813,0.07755757324386366,3.74024345014512
0.1514160452269809,0.778395502874607,0.4747072369313158,0.07631124695072321,4.577991110056948
0.12943509842784007,0.799105075448646,0.5222586750916707,0.08140247764942189,4.693324671862311
0.1394276484180304,0.7687999957135859,0.5133931780151344,0.08818267729099548,4.2105210408342995
0.15762642990041562,0.7980349538146907,0.44115925178551013,0.05913115772355633,5.0
0.1396971570435491,0.7430899632672697,0.5134720321251871,0.08190234861614354,3.75223336800018
0.1649941704557942,0.7480668443960972,0.45701171286557557,0.08216173772923525,3.9496827880990937
0.1291512400701367,0.750883629513942,0.5358473465332012,0.09496141561858008,3.7809086877395552
0.1305429321927245,0.7982340144437416,0.5162939686419881,0.09285919538116488,4.789264940590456
0.12494103900473666,0.7650893627002744,0.5353492816742795,0.0705663026988803,4.517808800394649
0.11371575270582052,0.77516793770529,0.5575441582844584,0.0992249868103568,4.40859500419089
0.16711485773873141,0.7775351148401792,0.4684672933984165,0.09684274841687564,4.330501645316997
0.16409193094347027,0.7125008590383842,0.5465428335002129,0.08804758461115195,3.738567374737699
0.16863929247539822,0.7459692149892794,0.48072751316342754,0.07546796025502514,4.142442278181235
0.1611247541842193,0.7369654479390262,0.4814098660975933,0.0742854351240839,3.8346001244172725
0.13820822586999076,0.7902926893813977,0.5271623808297823,0.08708577520237261,4.8915599103722345
0.1376089487357853,0.7457407401473315,0.49425553825555213,0.07142314466004096,3.9162821772068463
0.13514142268359866,0.7444731759083603,0.5013291978011524,0.07408905782905889,3.9116211536789383
0.14886756997247166,0.8070559397898088,0.478461105222721,0.08850549427595754,4.829855877104614
0.11488450219300322,0.7783820615971487,0.5618589122198087,0.06739693655449024,4.9406578264970635
0.17401980916777604,0.8027644057493099,0.4181754984430438,0.06138132245507825,4.872031331172304
0.16952009225892536,0.7688497275932809,0.4694627738910789,0.0635511653663006,4.517426267323303
